community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,Per_Unemployment,bus_count,train_count,total_stops,area_square_mile,stop_dens_kmsq,stop_dens_sqmi,area_square_mile,area_kmsq,pop_dens_sqmi,pop_dens_kmsq,2020_POP,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,INCPERCAP
1,Rogers Park,22.7,7.9,28.8,18.1,23714,7.5,97,4,101,1.84,21.17400419,54.89130435,1.84,4.77,30232.61,11672.81,55628,1.978713734,55643,34.65535076,24644,10537,15059,3018,2385,46244.10377,29682.50362
2,West Ridge,15.1,7,38.3,19.6,21375,7.9,196,0,196,3.53,21.44420131,55.52407932,3.53,9.14,21847.59,8435.36,77122,2.850979504,78763,35.61764109,33123,15514,9166,16556,4404,57937.30032,27671.16952
3,Uptown,22.7,4.6,22.2,13.6,32355,7.7,175,3,178,2.32,29.61730449,76.72413793,2.32,6.01,24647.41,9516.37,57182,1.709824616,59453,36.502262,31611,8911,10752,6173,2006,57878.09524,42111.65248
4,Lincoln Square,9.5,3.1,25.6,12.5,35503,6.8,132,4,136,2.56,20.51282051,53.125,2.56,6.63,15817.97,6107.32,40494,2.087917254,41350,35.12663571,26590,7373,1234,3771,2382,80899.83877,49797.24946
5,North Center,7.1,0.2,25.5,5.4,51615,4.5,113,2,115,2.05,21.65725047,56.09756098,2.05,5.31,17128.78,6613.42,35114,2.348000804,36142,34.31010125,27005,4323,923,2156,1735,133537.464,77950.66977
6,Lake View,10.5,1.2,16.5,2.9,58227,4.7,223,7,230,3.12,28.46534653,73.71794872,3.12,8.08,33028.85,12752.44,103050,1.780028066,101428,31.50931929,77260,9102,4304,7146,3616,91941.20988,74366.38873
7,Lincoln Park,11.8,0.6,20.4,4.3,71403,4.5,167,2,169,3.16,20.6601467,53.48101266,3.16,8.18,22307.59,8612.96,70492,1.903120607,69568,30.5704314,55637,4349,2636,5084,1862,117048.0738,90189.4832
8,Near North Side,13.4,2,23.3,3.4,87163,5.2,254,7,261,2.74,36.76056338,95.25547445,2.74,7.1,38496.72,14863.58,105481,1.556212042,95405,34.6875,65899,5807,6613,13882,3204,109049.1788,105016.5142
9,Edison Park,5.1,0.6,36.6,8.5,38337,7.4,16,0,16,1.13,5.460750853,14.15929204,1.13,2.93,10199.12,3937.88,11525,2.434819353,11002,41.2605042,9101,1086,46,282,487,113960.728,61123.82167
10,Norwood Park,5.9,2.3,40.6,13.5,31659,7.3,105,1,106,4.37,9.363957597,24.25629291,4.37,11.32,8764.99,3384.16,38303,2.472949161,38408.19118,41.69027061,29582.83151,5891.218245,251.5045832,1685.600175,997.0366652,90475.12039,45493.48943
