community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
1,Rogers Park,22.7,7.9,28.8,18.1,23714,1.978713734,55643,34.65535076,24644,10537,15059,3018,2385,46244.10377,7.5,30232.61,54.89130435
2,West Ridge,15.1,7,38.3,19.6,21375,2.850979504,78763,35.61764109,33123,15514,9166,16556,4404,57937.30032,7.9,21847.59,55.52407932
3,Uptown,22.7,4.6,22.2,13.6,32355,1.709824616,59453,36.502262,31611,8911,10752,6173,2006,57878.09524,7.7,24647.41,76.72413793
4,Lincoln Square,9.5,3.1,25.6,12.5,35503,2.087917254,41350,35.12663571,26590,7373,1234,3771,2382,80899.83877,6.8,15817.97,53.125
5,North Center,7.1,0.2,25.5,5.4,51615,2.348000804,36142,34.31010125,27005,4323,923,2156,1735,133537.464,4.5,17128.78,56.09756098
6,Lake View,10.5,1.2,16.5,2.9,58227,1.780028066,101428,31.50931929,77260,9102,4304,7146,3616,91941.20988,4.7,33028.85,73.71794872
7,Lincoln Park,11.8,0.6,20.4,4.3,71403,1.903120607,69568,30.5704314,55637,4349,2636,5084,1862,117048.0738,4.5,22307.59,53.48101266
8,Near North Side,13.4,2,23.3,3.4,87163,1.556212042,95405,34.6875,65899,5807,6613,13882,3204,109049.1788,5.2,38496.72,95.25547445
9,Edison Park,5.1,0.6,36.6,8.5,38337,2.434819353,11002,41.2605042,9101,1086,46,282,487,113960.728,7.4,10199.12,14.15929204
10,Norwood Park,5.9,2.3,40.6,13.5,31659,2.472949161,38408,41.69027061,29582.83151,5891.218245,251.5045832,1685.600175,997.0366652,90475.12039,7.3,8764.99,24.25629291
11,Jefferson Park,6.4,1.9,34.4,13.5,27280,2.475578649,27194,38.27886136,15831,6626,714,3151,872,77198.06008,9,11251.5,42.91845494
